monday,葡萄柚,木瓜,葡萄,芒果,蓮霧,酪梨,西瓜,椪柑,椰子,鳳梨,番石榴,香蕉
201501,22.739,26.907,55.867,41.591,46.069,114.248,15.115,232.479,12.021,28.27,28.128,38.242
201502,26.829,17.394,60.856,26.286,48.603,167.795,18.729,235.771,13.081,29.56,20.949,34.647
201503,30.603,16.949,64.933,56.55,44.066,123.536,14.511,117.367,10.676,25.469,11.456,32.557
201504,37.925,21.451,67.686,44.371,48.259,265.714,12.042,383.958,13.452,27.205,12.8,29.012
201505,36.416,16.19,143.411,40.813,53.894,175.561,11.224,425.381,14.423,23.701,21.697,30.454
201506,27.229,16.502,171.417,28.079,34.554,70.183,16.426,373.136,21.793,21.849,23.37,23.057
201507,26.697,18.314,240.073,27.38,41.247,39.771,14.853,298.017,25.439,23.686,19.861,20.881
201508,63.052,29.051,178.476,36.637,57.655,46.521,10.399,107.246,42.52,29.703,35.83,31.182
201509,37.68,38.265,135.77,76.944,83.339,85.01,25.633,83.2,30.014,28.588,36.347,46.38
201510,24.628,45.278,92.873,143.66,65.327,83.445,23.186,46.681,21.9,27.786,45.546,54.848
201511,23.518,49.116,73.346,25.327,64.002,89.32,12.64,172.68,15.673,30.875,37.129,58.966
201512,23.704,35.169,67.781,34.4,65.227,107.674,11.181,118.452,11.513,29.812,54.661,59.253
201601,28.929,31.541,79.637,31.28,63.994,149.482,8.906,149.345,8.287,26.837,46.511,46.487
201602,31.548,25.149,74.592,30.804,73.985,179.595,12.885,123.839,14.575,18.833,35.981,46.651
201603,34.09,31.986,103.24,61.189,82.892,146.131,16.948,131.229,18.482,23.176,48.363,57.825
201604,29.132,35.867,102.469,60.603,65.677,204.397,39.545,308.055,19.452,20.266,26.652,53.798
201605,38.332,31.182,104.809,66.27,72.735,177.344,28.544,330.564,21.355,32.003,34.58,46.902
201606,34.231,27.713,145.237,55.917,53.651,118.416,16.432,318.382,24.293,36.434,38.73,34.472
201607,40.913,34.984,244.85,73.558,59.592,70.71,20.078,325.864,31.479,25.981,29.644,28.663
201608,63.41,38.129,148.653,74.143,86.199,80.913,17.978,93.513,49.091,33.476,29.919,36.354
201609,25.678,33.219,93.636,123.498,132.407,82.107,11.157,145.988,44.686,23.397,48.722,35.654
201610,20.652,49.832,89.095,94.035,138.373,92.694,18.52,182.573,27.89,25.06,52.745,41.765
201611,23.074,55.297,74.808,38.88,89.56,97.307,29.21,197.658,17.662,25.382,57.551,55.215
201612,26.968,49.284,138.51,49.167,75.005,126.381,20.052,164.987,13.455,25.868,69.922,72.937
201701,29.6,41.7,147.778,38.75,97.662,196.804,19.247,243.306,12.759,28.96,73.393,80.127
201702,33.098,37.547,79.727,47.338,132.822,281.475,36.743,257.204,13.235,31.804,72.671,85.387
201703,35.621,42.539,76.08,84.112,75.485,387.133,21.403,394.404,13.258,27.578,51.844,75.986
201704,52.44,48.569,69.327,89.801,64.77,225.672,14.962,442.214,18.793,25.744,22.749,70.493
201705,72.569,40.922,75.468,74.059,88.648,171.927,13.766,488.827,20.198,26.996,28.903,52.895
201706,42.281,32.327,186.618,44.83,65.46,91.497,14.701,395.062,26.925,22.321,35.582,34.469
201707,37.36,38.923,235.584,34.956,75.471,57.3,19.37,238.043,35.472,24.888,30.173,27.367
201708,31.436,35.269,202.91,34.886,121.765,78.271,12.89,104.819,53.441,34.809,30.373,24.99
201709,21.832,33.13,128.11,52.585,193.514,102.397,13.249,102.655,32.709,25.501,34.368,26.373
201710,20.978,30.654,110.551,62.416,120.349,106.527,13.517,65.005,25.335,27.167,30.274,26.884
201711,16.095,47.571,85.416,45.277,70.064,90.967,13.647,143.11,16.001,25.204,39.745,35.721
201712,19.381,36.31,99.737,56.68,82.814,119.969,12.326,141.581,13.524,26.421,31.377,37.197
201801,21.99,29.078,96.315,47.209,53.033,142.705,15.714,210.789,13.118,22.314,31.718,40.583
201802,19.29,21.669,66.81,45.897,68.952,165.882,14.0,203.08,16.541,20.624,27.147,36.605
201803,21.497,36.656,77.78,69.934,84.744,139.835,41.617,252.741,17.093,25.837,32.502,33.497
201804,20.303,43.765,83.224,73.805,89.048,175.488,15.852,333.307,22.86,27.977,40.808,30.465
201805,27.719,26.177,98.906,48.201,82.596,173.519,10.48,487.231,21.619,17.826,36.168,24.708
201806,25.288,14.856,119.534,45.925,52.635,90.36,12.143,529.092,34.955,16.258,29.366,20.603
201807,24.029,30.805,108.106,37.165,61.08,61.152,15.395,545.365,37.968,21.028,20.651,24.184
201808,25.343,38.401,241.682,45.529,127.208,71.047,11.576,385.661,46.917,26.303,18.704,28.06
201809,15.35,35.778,164.545,74.418,182.737,86.497,11.447,281.005,35.95,18.17,24.402,29.487
