mon,葡萄柚,木瓜,李,楊桃,葡萄,芒果,蓮霧,酪梨,西瓜,椪柑,椰子,甜瓜,鳳梨,番石榴,香蕉,龍眼
1,22.702,33.118,45.0,26.884,88.243,40.786,66.941,149.965,14.319,216.909,11.481,57.179,25.53,41.708,48.058,142.694
2,26.389,27.695,67.886,20.322,67.906,44.236,78.377,197.601,21.717,205.839,14.317,39.4,24.275,38.493,49.642,129.176
3,28.523,33.01,60.25,20.409,78.114,70.915,69.998,170.343,19.625,258.625,14.707,42.267,23.895,33.359,48.318,110.347
4,30.896,37.832,49.5,29.813,80.303,66.644,67.399,210.537,18.936,370.709,18.171,51.47,24.078,23.821,44.804,125.029
5,39.313,29.419,37.327,43.215,100.312,55.219,79.517,162.961,15.556,471.622,18.624,61.64,24.847,29.622,38.594,231.268
6,31.673,26.067,57.51,20.907,171.499,42.497,60.253,90.545,14.914,449.603,27.279,57.503,24.352,30.966,29.711,99.343
7,31.876,32.38,74.803,13.764,214.399,40.429,66.671,58.496,22.575,364.239,29.95,57.253,23.855,26.223,26.147,73.992
8,40.357,36.638,76.842,23.145,199.853,45.792,119.795,73.801,14.022,188.292,45.784,60.915,31.584,29.457,30.307,74.899
9,24.329,35.513,93.106,28.784,135.59,80.816,151.476,90.082,16.474,133.93,34.433,71.992,25.145,36.176,34.219,84.334
10,19.907,43.459,74.216,39.77,98.715,92.516,129.343,93.567,16.991,110.398,24.568,67.378,23.48,43.4,39.126,112.698
11,19.114,47.09,74.034,38.952,81.668,61.469,90.96,89.508,15.194,153.62,16.223,62.096,24.246,46.535,46.648,128.111
12,20.887,38.715,61.9,34.948,118.025,51.393,73.379,109.647,13.394,146.998,12.435,56.221,25.39,49.639,50.222,149.753
